date,AMZN,S&P 500
2016-06-22,710.6,2085.449951
2016-06-23,722.08,2113.320068
2016-06-24,698.96,2037.410034
2016-06-27,691.36,2000.540039
2016-06-28,707.95,2036.089966
2016-06-29,715.6,2070.77002
2016-06-30,715.62,2098.860107
2016-07-01,725.68,2102.949951
2016-07-05,728.1,2088.550049
2016-07-06,737.61,2099.72998
2016-07-07,736.57,2097.899902
2016-07-08,745.81,2129.899902
2016-07-11,753.78,2137.159912
2016-07-12,748.21,2152.139893
2016-07-13,742.63,2152.429932
2016-07-14,741.2,2163.75
2016-07-15,735.44,2161.73999
2016-07-18,736.07,2166.889893
2016-07-19,739.95,2163.780029
2016-07-20,745.72,2173.02002
2016-07-21,744.43,2165.169922
2016-07-22,744.86,2175.030029
2016-07-25,739.61,2168.47998
2016-07-26,735.59,2169.179932
2016-07-27,736.67,2166.580078
2016-07-28,752.61,2170.060059
2016-07-29,758.81,2173.600098
2016-08-01,767.74,2170.840088
2016-08-02,760.58,2157.030029
2016-08-03,754.64,2163.790039
2016-08-04,760.77,2164.25
2016-08-05,765.98,2182.8701170000004
2016-08-08,766.56,2180.889893
2016-08-09,768.31,2181.73999
2016-08-10,768.56,2175.48999
2016-08-11,771.24,2185.790039
2016-08-12,772.56,2184.050049
2016-08-15,768.49,2190.149902
2016-08-16,764.04,2178.149902
2016-08-17,764.63,2182.219971
2016-08-18,764.46,2187.02002
2016-08-19,757.31,2183.8701170000004
2016-08-22,759.48,2182.639893
2016-08-23,762.45,2186.899902
2016-08-24,757.25,2175.439941
2016-08-25,759.22,2172.469971
2016-08-26,769.0,2169.040039
2016-08-29,771.29,2180.3798829999996
2016-08-30,767.58,2176.1201170000004
2016-08-31,769.16,2170.949951
2016-09-01,770.62,2170.860107
2016-09-02,772.44,2179.97998
2016-09-06,788.87,2186.47998
2016-09-07,784.48,2186.159912
2016-09-08,784.06,2181.300049
2016-09-09,760.14,2127.810059
2016-09-12,771.49,2159.040039
2016-09-13,761.01,2127.02002
2016-09-14,761.09,2125.77002
2016-09-15,769.69,2147.26001
2016-09-16,778.52,2139.159912
2016-09-19,775.1,2139.1201170000004
2016-09-20,780.22,2139.76001
2016-09-21,789.74,2163.1201170000004
2016-09-22,804.7,2177.179932
2016-09-23,805.75,2164.689941
2016-09-26,799.16,2146.100098
2016-09-27,816.11,2159.929932
2016-09-28,828.72,2171.3701170000004
2016-09-29,829.05,2151.1298829999996
2016-09-30,837.31,2168.27002
2016-10-03,836.74,2161.199951
2016-10-04,834.03,2150.48999
2016-10-05,844.36,2159.72998
2016-10-06,841.66,2160.77002
2016-10-07,839.43,2153.73999
2016-10-10,841.71,2163.659912
2016-10-11,831.0,2136.72998
2016-10-12,834.09,2139.179932
